linha,timestamp,Lorem,Ipsum,Dolor,Sit,Amet,Diceret,botoes_disponiveis,edit_href,delete_href
1,2025-10-07 14:13:02,Iuvaret0,Apeirian0,Adipisci0,Definiebas0,Consequuntur0,Phaedrum0,"['edit', 'delete']",https://the-internet.herokuapp.com/challenging_dom#edit,https://the-internet.herokuapp.com/challenging_dom#delete
2,2025-10-07 14:13:02,Iuvaret1,Apeirian1,Adipisci1,Definiebas1,Consequuntur1,Phaedrum1,"['edit', 'delete']",https://the-internet.herokuapp.com/challenging_dom#edit,https://the-internet.herokuapp.com/challenging_dom#delete
3,2025-10-07 14:13:02,Iuvaret2,Apeirian2,Adipisci2,Definiebas2,Consequuntur2,Phaedrum2,"['edit', 'delete']",https://the-internet.herokuapp.com/challenging_dom#edit,https://the-internet.herokuapp.com/challenging_dom#delete
4,2025-10-07 14:13:02,Iuvaret3,Apeirian3,Adipisci3,Definiebas3,Consequuntur3,Phaedrum3,"['edit', 'delete']",https://the-internet.herokuapp.com/challenging_dom#edit,https://the-internet.herokuapp.com/challenging_dom#delete
5,2025-10-07 14:13:02,Iuvaret4,Apeirian4,Adipisci4,Definiebas4,Consequuntur4,Phaedrum4,"['edit', 'delete']",https://the-internet.herokuapp.com/challenging_dom#edit,https://the-internet.herokuapp.com/challenging_dom#delete
6,2025-10-07 14:13:02,Iuvaret5,Apeirian5,Adipisci5,Definiebas5,Consequuntur5,Phaedrum5,"['edit', 'delete']",https://the-internet.herokuapp.com/challenging_dom#edit,https://the-internet.herokuapp.com/challenging_dom#delete
7,2025-10-07 14:13:02,Iuvaret6,Apeirian6,Adipisci6,Definiebas6,Consequuntur6,Phaedrum6,"['edit', 'delete']",https://the-internet.herokuapp.com/challenging_dom#edit,https://the-internet.herokuapp.com/challenging_dom#delete
8,2025-10-07 14:13:02,Iuvaret7,Apeirian7,Adipisci7,Definiebas7,Consequuntur7,Phaedrum7,"['edit', 'delete']",https://the-internet.herokuapp.com/challenging_dom#edit,https://the-internet.herokuapp.com/challenging_dom#delete
9,2025-10-07 14:13:03,Iuvaret8,Apeirian8,Adipisci8,Definiebas8,Consequuntur8,Phaedrum8,"['edit', 'delete']",https://the-internet.herokuapp.com/challenging_dom#edit,https://the-internet.herokuapp.com/challenging_dom#delete
10,2025-10-07 14:13:03,Iuvaret9,Apeirian9,Adipisci9,Definiebas9,Consequuntur9,Phaedrum9,"['edit', 'delete']",https://the-internet.herokuapp.com/challenging_dom#edit,https://the-internet.herokuapp.com/challenging_dom#delete
